as_of_date,ticker,company_name,sector,price,fair_value_bear,fair_value_base,fair_value_bull,base_upside,dispersion,quality_score,opportunity_score,confidence_score,confidence,data_completeness,methods_used,pe,pb,dcf,comps,roe,net_margin,ebitda_margin,fcf_margin,debt_equity,eps_growth,revenue_growth,beta,discount_rate,discount_rate_source
2026-09-26,EGCH,,Materials & Chemicals,14.175879396984925,8.433568185298824,10.44361070115541,12.453653217011995,-0.2632830451861302,0.3849324861628953,60.8,55.9,89.3,High,100,2,15.750977107761027,0.6550776061453293,,8.433568185298824,0.04173063503140265,0.15973644377170332,0.2744190187872852,-0.01305938919063307,0.3148639218422889,-0.1239914599647125,-0.20701387862391318,,0.25,Fallback
2026-09-26,EGSA,,Unclassified,465.7020364415863,18.224242916294553,20.38862986693144,22.553016817568327,-0.9562195818967848,0.2123131338165427,72.2,41.0,87.3,High,90,2,342.4279679717546,25.282412401823358,,22.553016817568327,0.0839660237949792,0.5888412892696858,0.613015095879233,0.4978580171358629,,-0.11700795627040539,0.026541752485211623,,0.25,Fallback
2026-09-26,EGTS,,Travel & Leisure,18.104761904761904,2.9056731545648242,3.4184390053703817,3.9312048561759387,-0.8111856414708627,,28.3,31.8,80.2,High,90,1,,38.52077001013171,3.4184390053703817,,-0.2099190601891509,-0.11211951447245565,-0.3142390289449113,0.4840896358543418,,,-0.34658091231574406,,0.25,Fallback
2026-09-26,ELEC,,Unclassified,1.933534743202417,1.653023131159271,1.9447330954814952,2.2364430598037193,0.005791647819335742,,30.2,54.2,86.0,High,100,1,,1.7903099474096453,,1.9447330954814952,-0.053599553197430885,-0.02088801828272935,0.18990096854935248,0.34127761453912286,2.9681653169505724,,-0.21953159858811766,,0.25,Fallback
2026-09-26,EMFD,,Unclassified,13.392660550458716,16.348217910205406,17.45362018700741,18.55902246380941,0.30322277050541685,0.12666739220381,65.3,71.9,92.1,High,100,2,10.977590615130095,1.0153647119377345,,18.55902246380941,0.10003619455967926,0.33483994222077257,0.3657797865896277,-0.16201481757606823,0.05223153381407133,-0.0653868561604043,-0.12383520263843129,,0.25,Fallback
2026-09-26,ENGC,,Materials & Chemicals,40.27491408934708,3.5467311880866794,76.79752817157397,76.79752817157397,0.9068328240552924,1.327437897589213,57.6,83.1,84.0,Medium,100,3,7.2567412773598345,1.9215130767818263,3.5467311880866794,105.4906805242092,0.23846946867565424,0.11784846505551927,0.2651861528412802,0.009737426518615285,0.5408406026962728,-0.3656683595911463,-0.22800684660362291,,0.25,Fallback
2026-09-26,ETEL,,Unclassified,135.75438596491227,198.3226435008525,219.3988265473903,240.47500959392812,0.6161454010340203,0.1921266706682712,66.6,80.0,91.9,High,100,2,9.172593646277855,3.1475628556668735,,240.47500959392812,0.37261423180300274,0.23773601247185172,0.44341763381257576,0.09113978867140135,0.9886786305758423,-0.2164910814834866,-0.20317973216479845,,0.25,Fallback
2026-09-26,EXPA,,Financials,21.75,23.949316881844425,29.103781493395147,34.25824610494587,0.33810489624805273,0.35421270687594214,58.3,68.9,83.5,High,90,2,3.9259927797833933,1.1176772867420348,,,0.28424864212432105,0.48279838554679994,,-2.4555064385931193,0.08226463488231744,-0.3264826749706088,-0.31189251751329017,,0.25,Fallback
2026-09-26,FAIT,,Financials,49.35281443153044,70.12427993322854,80.19786435724347,90.2714487812584,0.6249906977140255,0.25121827132807145,79.5,82.6,88.5,High,90,2,4.35210003805383,0.672840005883169,,,0.16141382519671715,0.5011492743153608,,-0.18506600118211072,0.0021302563668669093,2.287249954473702,-0.16545519799720987,,0.25,Fallback
2026-09-26,FERC,,Materials & Chemicals,76.875,54.58743693920976,57.874355813601,61.16127468799225,-0.24716285120519024,0.11358809366198727,51.3,54.0,89.4,High,100,2,17.392533936651585,7.566437007874016,,54.58743693920976,0.4512795275590551,0.1729862290133937,0.2819279381248821,-0.05711092246745897,1.2561515748031495,-0.43700628338242875,-0.6507368554609234,,0.25,Fallback
2026-09-26,FWRY,,Unclassified,18.730205278592376,11.287621315205314,11.338886568944705,11.390151822684095,-0.3946202724267818,0.009042378795780029,73.6,57.2,94.7,High,100,2,22.035535621873382,7.041430555861795,,11.287621315205314,0.34717625707270205,0.32172536604669566,0.3922635536208943,0.2569252077562327,0.4846802604889506,-0.32399102157964843,-0.30339937689961227,,0.25,Fallback
2026-09-26,GBCO,,Unclassified,30.284403669724767,30.284403669724767,30.284403669724767,30.28440366972477,0.0,1.173116604026824e-16,57.0,62.1,91.4,High,100,2,13.400178614922465,0.9826217933070982,,30.28440366972477,0.07028581188795263,0.026590130742886683,0.07975962263338143,0.030467185043186077,1.3325267592803463,-0.10608493952977283,-0.19474976824056778,,0.25,Fallback
2026-09-26,GOUR,,Unclassified,15.5,7.7025697711315155,7.737336683893272,7.772103596655029,-0.5008169881359179,0.008986790721962661,68.8,53.1,93.7,High,100,2,26.724137931034484,19.375,,7.7025697711315155,0.8010043942247332,0.07883843064565955,0.11,0.09314488724127279,1.8110483364720653,,-0.2368412110127427,,0.25,Fallback
2026-09-26,HDBK,,Financials,109.74528301886792,54.03979980893055,84.93117693926997,115.8225540696094,-0.22610635643749527,0.7274449323227511,66.9,56.7,82.4,Medium,90,2,5.859331714835447,2.4993232297624215,,,0.4244848329706899,0.6066768292682927,,-0.24045731707317072,0.025662357609113017,-0.3672339573693916,-0.3305580105556404,,0.25,Fallback
2026-09-26,HELI,,Unclassified,7.8104738154613464,7.442081520476422,9.416116671580259,11.390151822684095,0.20557560194881347,0.4192885920927197,61.2,67.7,89.1,High,100,2,9.188792724072172,3.2274685187856806,,7.442081520476422,0.3537984496124031,0.7377155172413793,0.8657327586206897,0.12676939655172415,0.8443410852713178,-0.45733949689890896,-0.33428500482673995,,0.25,Fallback
